Title,Content,Ingredients,Recipe Yield,Direction
Krumplis zöldséges rakott (vegán),Postai olcsó receptek,"500 g meghámozott burgonya
só
2 evőkanál olívaolaj
2 evőkanál víz
125 g liszt
1 teáskanál sütőpor
A töltelékhez:
2 répa
1 fej vöröshagyma
1/2 piros paprika
1 kis cukkini
1 csokor petrezselyem
1 evőkanál olaj
só
egy csipet bors
A tekercs kenéséhez:
1 evőkanál olaj
szezámmag","Nan

Nincs","Főzd meg a burgonyát sós vízben. Miután megfőtt, öntsd le a vizet, törjd össze, és hagyd hűlni. Közben a zöldhagyma, a cukkin és a paprika kockákra vágva, a sárgarépa pedig egy kisebb reszelőn nyomva, pirítsd meg a zöldségeket egy evőkanál olajban. Ízesítsd sóval és borssal, majd önts ¼ pohár vizet, és főzd a lágyra a zöldségeket. A tűzről levétele előtt adj hozzá apróra vágott petrezselymet. Hagyd hűlni a zöldségeket. Keverj 2 evőkanál vizet, 2 evőkanál olajat és lisztet sütőporral a megpürésített burgonyához, és keverd össze, amíg egyenletes tésztát nem kapsz. Nyújtsd ki a tésztát egy lisztezett sütőpapírra, és tedd rá a tölteléket. Görgessd össze a tésztát a sütőpapír segítségével, kenj meg olajjal, és szórd meg szezámmaggal. Helyezd be a tepsibe, amelyhez a sütőpapírt is hozzátetted, és 180°C-ra előmelegített sütőben süsd 30-35 percig. Vegyed ki a sütőből, és hagyd teljesen hűlni, mielőtt felszeletelnéd."
Veganos posta leves,Postai olcsó receptek,"400 gramm fagyasztott, előfőzött fehér bab
1 konzerv piros bab, lecsepegtetve és hideg víz alatt öblítve
4 evőkanál olaj
1 teáskanál mustármag
2 szárított fűszernövény
1 kis póré, apróra vágva
1 kapia paprika
450 gramm fagyasztott zöldség leveshez
2 evőkanál paprikakrém
3 evőkanál paradicsomkrém
só és bors ízlés szerint
zöld petrezselyem
zöld kapor
kb. 3 liter szűrt víz","Nan

Nincs","A fehér babot előfőzött és fagyasztottam, egy lábasba tettem, hozzáadtam a apróra vágott póréhagymát, a kockázott paprikát és az olajat, majd ásványvizet, paprika-krémet. Közepes lángon hagytam, amíg a babok fel nem olvadtak. Mustárbabokat, babérleveleket, zöldségeket a leveshez adtam, és 10-15 percig főztem. A konzerv piros babot, öblítettem, paradicsom-pasztát adtam hozzá, és további 10 percig főztem. Sóval és borssal ízesítettem, friss zöldfűszerekkel díszítettem és tálaltam. Jó étvágyat!"
Paprikás rizs gombával,"Nagy kedvencem a nyári postai paprika és rizs, és a család többi tagjának hozzáadok gombát is. Mivel ez egy nyári recept, nem sűrítettem be a szószt liszttel, hanem egyszerűen hagytam.","1 kg paprika,
2 hagyma,
1 sárgarépa,
1 nagy kanál rizs,
Gomba ízlés szerint,
2 evőkanál zöldségalaplé,
Petrezselyem ízlés szerint,
Só és bors (ízlés szerint),
Olaj,
Néhány paradicsom, amiből a paprikák tetejét fogjuk készíteni.","Nan

Nincs","Keverjük össze a két vöröshagymát, reszeljünk le egy sárgarépát. Forró olajban pároljuk 5 percig a vöröshagymát, majd adjuk hozzá a rizst, és öntsük fel vízzel. Főzzük kb. 5 percig, majd távolítsuk el és hagyjuk kihűlni. Közben tisztítsuk meg a paprikákat a magoktól, mossuk meg őket, töltsük meg rizzsel, és tegyünk néhány gombát az összes paprikába, vagy csak néhányba, akik szeretik a gombát. Azután töltsük meg a paradicsomokkal. Ha még marad rizs, töltsünk néhány paradicsommal. Helyezzük egy nagy lábosba a paprikákat, és locsoljuk meg őket kevés olajjal, hogy kicsit megpirítsuk őket, majd öntsünk rá annyi vizet, hogy ellepje a lábos felét. Főzzük lassú tűzön. Amikor már majdnem kész, tegyünk két evőkanál leveskockát a paprikákra. Főzzük még egy kicsit, majd vegyük le a tűzről. Díszítsük friss petrezselyemmel apróra vágva. Jó étvágyat! Ha tetszett a receptem, megtalálhatja a blogomon is: http://ancutsa-cuisine.blogspot.com/2016/08/ardei-de-post-cu-orez-si-ciuperci.html"
Vesebb burgonya-tök pörkölt gombával,"A napokra, amikor nem akarunk húst, csodálatos.",2 kis vöröshagyma2 sárgarépa1 piros erős paprika250 g gomba1 evőkanál paradicsom pasta250 ml paradicsomlé1 teáskanál szárított bazsalikom1 darab fahéjlevélűszerecsendió friss bazsalikom díszítéséhez,"Nan

Nan","A szőlőhöz meg kell mosni, el kell távolítani a héját, és kockákra kell vágni. Egy evőkanál sót kell szórni, és vízzel kell lefedni. Legalább 30 percig kell hagyni, majd jól meg kell nyomkodni. A vöröshagymát meg kell tisztítani, meg kell mosni és szeletekre kell vágni. A sárgarépát meg kell tisztítani, meg kell mosni és vékony karikákra kell vágni. A paprikát meg kell tisztítani a magoktól és a héjától, és julienne-nek kell vágni. A gombákat meg kell tisztítani / meg kell mosni és szeletekre vagy félbe kell vágni. A szőlőt olajban pirítsuk meg minden oldalán, amíg szép aranybarna nem lesz. Én egy wok-os tálat használtam. Legyen óvatos, mert a szőlő nagyon sok olajat szív magába. Tálaljuk egy tányéron. Adjunk hozzá még 1-2 evőkanál olajat, és pirítsuk meg a hagymát. Két perc múlva adjuk hozzá a répát. Két perc múlva adjuk hozzá a paprikát. Két perc múlva adjuk hozzá a gombákat. Jól keverjük meg minden hozzáadott zöldség után. Hozzáadjuk a pirított szőlőt a tálhoz, és keverjük össze. Adjuk hozzá a bazsalikomot, a szegfűszeg levelet, a paradicsompürét és annyi vizet, hogy ellepje az összes zöldséget. Közepes lángon főzzük, amíg a szósz fel nem egyenlítődik. Ízesítsük sóval és borssal. Friss bazsalikom levelekkel tálaljuk."
Nauti krumplisaláta,"Nan

Nincs","3 sült krumpli
500 g főtt borsó
3 evőkanál olaj
3 hagyma
3 gerezd fokhagyma
3 zsályalevél
3 evőkanál piros paradicsompüré
só
bors
Opcionális: reszelt gyömbér és csípős paprika morzsa","Nan

Nincs","A burgonyákat megtisztítjuk, megmossuk és kockákra vágjuk. A hagymát és a fokhagymát megtisztítjuk, megmossuk és apróra vágjuk. Olajat teszünk egy lábasba és hozzáadjuk a hagymát, a fokhagymát és a burgonyákat. Közepes lángon kb. 5 percig pirítjuk. Hozzáadjuk a babérleveleket. Vízzel átöntjük, hogy ellepje a zöldségeket, és 15 percig főzzük. Ellenőrizzük, hogy a burgonya megfőtt-e, majd hozzáadjuk a szójababból és a paradicsompüréből. Még 10 percig főzzük. Ízesítjük sóval és borssal. Friss petrezselyemmel tálaljuk."
Csípős nádhúsleves rántott paprikával,"A mai nap receptje ismét egyszerű és elég gyors, egy szezonális recept, amit abszolút finomnak, vegán vagy böjtösnek mondanék, amit nagyon ajánlok, különösen, ha szeretitek a húsmentes ételeket. Már mondtam, mindig szeretem inkább a friss zöldségekből készült ételeket, mint egy sült húst.",-Napos Élelmiszer Konzerv -3 hagyma -3 paprika -3 paradicsom -fokhagyma -csípős paprika -só -bors -petrezselyem -olaj,"Nan

Nincs","Először meg kell sütni a paprikát, és megtisztítani a héját és a magjait. A vöröshagymát apróra vágjuk és 2 evőkanál olajon megpároljuk. Ezután hozzáadjuk a karikára vágott paprikát, és pár percig főzzük, miközben a paradicsomokat megpároljuk és megtisztítjuk a bőrüket, majd kockákra vágjuk és a paprikához és a hagymához adjuk. Főzzük még 5 percig, majd adjuk hozzá a csípős paprikát (én csak két karikát tettem, hogy csak egy kicsit csípős legyen a gulyás) és a lecsöpögtetett lencse. Sózzuk, borsozzuk, fokhagymával ízesítjük, és még 5 percig főzzük, majd kapcsoljuk ki a tűzhelyet és szórjuk meg petrezselyemmel. Szervírozzuk friss kenyérrel (ami éppen a kenyérsütőből jött:)) vagy mángolddal."
Gyors Zacusca,"Nan

Nincs","3 paprika
3 hagyma
3 paradicsom
Só
Bors
1 levél bazsalikom
50ml olaj
1 teáskanál cukor","Nan

Nincs","Egy tálba tegyük a cukkiniket és a paprikákat, és 10 percig fedjük le, hogy könnyebben eltávolíthassuk a héját. Vágjuk apróra a hagymát, és tegyünk olajat a lábosba, hagyjuk, hogy a hagyma átjárja, tegyük bele a cukkiniket és a paprikákat, a turmixgépben összetört paradicsomot, a fűszerágyat, a cukrot, a sót / borsot. Forraljuk, keverjük, hogy ne ragadjon össze. Hagyjuk kb. 40 percig alacsony lángon."
Töltött tök zöldségekkel,"Egy böjti napra ez egy remek étel, de a töltelék összetevői közé lehet adni húst is, ahogy mindenki szereti.","1 szőlő
500 g gomba
1 fehér hagyma
2 paradicsom
1/2 piros paprika
petrezselyem zöld levelek
só
bors ízlés szerint
50 ml olaj","Fogyasztható így is, de ha szeretné, tehet hozzá egy kevés tejszínt vagy reszelt sajtot is.","A nagy dinnyét megtisztítják a héjától, megmosják, hosszában kettévágják, és egy kanállal kikaparják a magokat. Ezután sót szórnak rá, és félreállítják. A vöröshagymát megtisztítják és apróra vágják. A kis dinnyét megtisztítják és nagy reszelőn lereszelik. A paradicsomot megmosják, pár másodpercig főzik, majd kimagozzák. Kockákra vágják. A nagy paprikát kis kockákra vágják. A gombákat megmosják, megtisztítják és vékony szeletekre vágják. Az olajat egy serpenyőbe teszik, felmelegítik, majd beleteszik a gombákat. Sót szórnak rá, és alacsony lángon főzik, amíg elkezd vizet ereszteni. Sorban hozzáadják a hagymát, a reszelt dinnyét, a paradicsomot és a paprikát. Sóval és borssal ízesítik ízlés szerint. Együtt főzik néhány percig alacsony lángon és fedő alatt. Végül apróra vágott petrezselymet adnak hozzá, összekeverik és félreállítják. A két dinnyefélét lecsepegtetik a maradék vízből, majd egy olajjal kikent tálba teszik. A dinnyéket a zöldségkeverékkel töltik meg, egy pohár víztöltelék, a tálat alumíniumfóliával fedik le, és előmelegített sütőbe teszik, amíg egy villával könnyen belemegy a dinnyébe, jelzésül, hogy kész. A fóliát eltávolítják, és még 15 percig a sütőben hagyják. Jó étvágyat!"
Rizs gombával,"Korábban néhány évvel ezelőtt nem szerettem nagyon a rizst, de ha ezt a receptet követve készítem el, örömmel eszem. Remélem, nektek is ízleni fog.","1 konzerv rizs
4 pohár víz (szeretem a rizst kissé szárazabbnak, ha szeretné, akkor tegyen bele 3 pohár vizet)
kb. 350 g friss gomba
1 hagyma
1 sárgarépa
1 piros paprika
2 kanál konzerv zöldségek
só és bors ízlés szerint
néhány kanál olaj","Nan

Nincs","Megtisztítjuk és jól megmossuk a gombákat, majd kockákra vágjuk őket és félretesszük. Megtisztítjuk, megmossuk és apróra vágjuk a hagymát, majd egy edénybe tesszük, amelybe beletettünk olajat felmelegítésre. Adunk egy kevés vizet és 1-2 percig főzzük. Közben megtisztítjuk és megmossuk a sárgarépát és a paprikát, majd a hagymához adunk. Pár percig főzzük. Adunk egy evőkanál zöldséget, a gombákat és egy kevés sót. Keverjük össze és főzzük, amíg a gombák megpuhulnak. A rizst 2-3 hideg vízben megmossuk, lecsepegtetjük, majd a lábasba tesszük. Öntünk fél pohár vizet és jól összekeverjük. Pár percig főzzük és keverjük, hogy a rizs ne ragadjon a lábas aljához. Adunk még zöldséget és vizet, majd ízesítjük sóval és borssal. Nagy lángra kapcsoljuk, amikor a víz elkezd forrni, kicsire csökkentjük a lángot és lefedjük a lábas fedővel. Közepes lángon főzzük kb. 15 percig. Kikapcsoljuk a lángot és lefedve hagyjuk még 15 percig, majd tálalhatjuk. Jó étvágyat!"
Hagyományos Ratatouille-ghiveci,"Ratatouille egy hagyományos zöldség recept, Provence régióból Franciaországból.","7 piros paradicsom
2 káposzta
2 kicsi (1 nagy) hagyma
2 piros paprika
5 tök (3 zöld és 2 sárga)
1 gerezd fokhagyma,
kakukkfű, borókabogyó
6 evőkanál olívaolaj
tengeri só, bors, paprika
friss petrezselyem","Nan

Nem","Spaljátok meg a zöldségeket. A hagymát és fokhagymát megtisztítják és apróra vágják. A padlizsánt és a cukkinit kockákra vágják. A paprikát megtisztítják és kockákra vágják. A paradicsomokat megtisztítják és darabokra vágják. Minden típusú zöldséget külön tálakba tesznek. A főzésüket egy bizonyos sorrendben fogják elvégezni, ahogy alább látni fogja ... 2 evőkanál olajat felmelegítenek egy mély lábasban és a hagymát és a fokhagymát megpirítják. Hozzáadják a paprikát és sóval ízesítik. Közepes lángon főzzük 5 percig. Amikor a paprikák megpuhulnak, adagolják a paradicsomokat, a babérlevelet, a paprikát és főzzük alacsony lángon 20 percig. Ugyanabban az időben 2 evőkanál olívaolajat melegítsen fel egy serpenyőben. Adjon hozzá padlizsán kockákat, sót, borsot és kakukkfüvet, és főzze 15 percig. Vegye ki őket egy tányérra, és tartson fenn. Ugyanezt a cukkinivel is megteheti. Ezután adja hozzá a főtt padlizsánt, cukkinit és a paradicsom szószba. Ízesítse sóval és borssal. Fedő alatt alacsony lángon főzzük 15-20 percig. Végül frissen vágott petrezselymet adunk hozzá. Azonnal fogyasztható. A ratatouille melegen és hidegen is fogyasztható étel. Egyszerűen rizzsel fogyasztható, vagy hús, hal stb. köreteként is használható. Összeturmixolható és kekszként is elfogyasztható."
Zöldségfogyasztás,"Nan

Nem","egy csípős paprika;
egy cseresznyepaprika;
5 nagy paradicsom;
olaj;
só;
bors;
zöldségkeverék;
friss bazsalikom.","Nan

Nincs","A vöröshagyma apróra vágva, a paprika és a paradicsom kockákra vágva. Egy kevés olajon pirítsuk meg a hagymát, majd adjuk hozzá a paprikát és együtt pároljuk néhány percig. Amikor már kissé megpuhultak, adjuk hozzá a paradicsomot, sót, borsot, a zöldségkeveréket és néhány szaggatott bazsalikom levelet. Főzzük 15-20 percig. Mikor kikapcsoltuk a tűzhelyet, még néhány bazsalikom levelet adtunk hozzá, összekevertük a főzelékkel, és lefedtük. Amikor felszolgáltuk, akkor vettük ki a fedelét. Jó étvágyat!"
Quinoa töltött padlizsán,"Ez a recept tökéletes azok számára, akik nem fogyasztanak húst, vagy akik csökkenteni szeretnék annak fogyasztását. Az étel ínycsiklandó és alkalmas a böjti időszakra is, ha joghurt vagy tejszín nélkül tálalják.","1 nagy hagyma
1 répa
2 evőkanál olaj
3 evőkanál főtt quinoa
só
bors
gyömbérpor
50ml húsleves
250 ml húsleves
100 ml víz
oregánó
joghurt/tejszín","Nan

Nem","Megmossuk a padlizsánokat, és hosszában félbevágjuk őket. Egy kanállal kikaparjuk a padlizsán közepét, hogy helyet csináljunk a tölteléknek. Sóval megszórjuk a padlizsánokat, és félretesszük. Míg a kikapart padlizsánok levet eresztenek, elkészítjük a tölteléket. A hagymát apróra vágjuk, és két evőkanál olajon megpároljuk a répával együtt. Hozzáadjuk a kikapart padlizsán belsejét is, ha nagyobb darabokban van, akkor apróra vágjuk őket. Megpároljuk a zöldségeket, és ízesítjük. Hozzáadjuk a 50 ml húsleveskockát és a quinoát. Én a bors helyett gyömbérport használok, de lehet borsot és gyömbért is használni. Jól lecsepegtetjük a kikapart padlizsánokat, és megtöltjük őket a töltelékkel. Egy tepsibe rendezzük őket, és mellettük 250 ml húsleveskockát keverünk 100 ml vízzel és oreganóval. Előmelegített sütőben 180-200 fokon sütjük, amíg a kanál jól bemegy a padlizsánokba. Tetejére reszelhetünk parmezánt. Melegen tálaljuk joghurttal vagy tejszínnel."
Mazsola Zöldséges Kolbásszal,"Megkezdődött az Urunk születésének böjtje. A böjtöt évszázadok óta használják gyógyító meditációként, amely hatással van fizikai, mentális és érzelmi szinten is.","500 gramm szárított borsó
200 gramm füstölt AIVIA vegán kolbász
1 közepes vöröshagyma
2 kis sárgarépa
1/2 kapia paprika
250 gramm saját levében párolt paradicsom
1 evőkanál paradicsom paszta
olaj, zöld petrezselyem, só, bors, édes paprika, 1 gerezd fokhagyma",2) Használhat fagyasztott mángoldot és lekvárt is.,"Szedd ki a kolbászt a műanyag zacskóból, és vágd kis karikákra. Egy serpenyőben hevítsünk fel olajat, és pirítsuk meg a kolbász darabokat. Tedd félre... Egy másik serpenyőben pirítsuk meg a hagymát, amíg meg nem változik a színe. Majd adj hozzá sárgarépát és paprikát. Öntsünk rá vizet, sózzuk és borsozzuk. Amikor a zöldségek megpuhultak, adjuk hozzá a borsót és a fűszeres paprikát. Ha a víz nagyon lecsökkent, adjunk hozzá meleg vizet. A paradicsomokat turmixoljuk és adjuk hozzá a paradicsom pasztával, miután a borsó már pár percig főtt. Hagyjuk még 2 percig, majd adjuk hozzá a kolbászt. Két perc múlva vegyük le a tűzről, és adjuk hozzá a zöldfűszereket. Jó étvágyat!"
Szilva szúnyogok,"Ezt a szöveget ajánlom neked: Egy finom édesség, amit a gyerekek is imádnak. Ezt megtalálod Ukrajna bármelyik éttermében. Ha Bukovelbe síelni mész, ne habozz megkérdezni.","500 g liszt
egy csipet só
kiöntött cseresznyelé
egy evőkanál Unirea margarin","Amikor nincs posta, akkor kövesse az előre megadott link által adott receptet és szolgálják fel tejszínnel, cukorral, vagy gyümölcsös joghurttal, például cseresznyével, szilvával, papayával, vagy joghurttal, amit a szilvából maradt lé, mézzel édesítve, vagy olvasztott vajjal készítsenek.","A finom lisztből és vízből készítsünk egy rugalmas, nem ragadós tésztát, és 20 percig hűvös helyen takarjuk le egy fóliával. Egy lisztezett táblán vékonyra nyújtsuk a tésztát, kb. 2-3 mm vastagságúra, és egy pohár segítségével készítsünk köröket belőle. Tegyünk két szilvát a közepébe, és óvatosan összekötve készítsük el a többit is. Egy nagy lábasba öntsünk vizet, és tegyük a tűzhelyre, amikor a víz forrni kezd, lassan adagoljuk hozzá a köreket. 8 percig főzzük lassú tűzön, amikor a köreket a víz felszínén látjuk, egy kanállal vegyük ki őket, és egy szűrőben öntsük le. Aztán egy tálba öntsük a olvasztott vajat. Melegen szolgáljuk fel porcukorral meghintve, vagy ribizlisziruppal, rózsasziruppal: http://www.bucataras.ro/retete/sirop-de-trandafiri-61958.html Jó étvágyat!"
Soljanka II gombás- Rántott gombás rusztikus leves (vegán),"Nan

Nan","600 gramm megtisztított és megmosott gomba (én vargányát, sárgát, szilvát, gombát és néhány csiperkét használtam)
1 hagyma
1 sárgarépa
5 evőkanál napraforgó olaj
4 savanyú uborka
2 evőkanál paradicsompüré
2 darab füstölőfű
2,5 l zöldség alaplé
1 kanál fehér liszt
só ízlés szerint
bors ízlés szerint
200 gramm olajbogyó mag nélkül
1 csokor petrezselyem
1 szelet citrom minden adagba","Annál többféle gomba, annál finomabb lesz a leves.","Egy lábasban megmosott hagymát aprítunk, és 3 evőkanál olajban 2 percig pirítjuk. Hozzáadjuk a megmosott és reszelt répát, majd még 2-3 percig főzzük. Hozzáadjuk a paradicsom pasztát és a lisztet, összekeverjük és még 2 percig pároljuk. Közben a megmosott gombákat egy serpenyőben, a maradék evőkanál olajban, közepes lángon 8 percig pirítjuk. A káposztát kockákra vágjuk és 8 percig főzzük, majd a répához és hagymához adjuk, 5 percig pároljuk, hozzáadjuk a gombákat és még 5 percig főzzük. Adjuk hozzá az olívabogyókat, a zöldséglevet és a fűszernövényeket, fedő alatt, alacsony lángon 10 percig főzzük. A megmosott és szárított petrezselymet apróra vágjuk. Egy szelet citrommal és friss zöldségekkel tálaljuk. Ha nem böjt, tejföllel vagy joghurttal is tálalhatjuk. Jó étvágyat!"
Wok-ban zöldséges spenót,"Ebből a tavaszból már régóta arra törekszem, hogy spenótot készítsek, és már csináltam is spenótot, de ma ráesett,","1 kg nyers spenót
3 hagyma
2 széles paprika
2 sárgarépa
1 petrezselyem
só
300 ml paradicsom-piros paprika keverék
kb. 100 ml olaj","Nan

Nincs","Elsőként megtisztítottam a spenótot a száraktól, majd alaposan megmostam a víz alatt, utána apróra vágtam. Megtisztítottam a hagymát és apróra vágtam, a sárgarépát és a petrezselymet megtisztítottam és nagy reszelőn lereszeltem, a paprikát pedig kockákra vágtam. A wok serpenyőt a tűzre tettem, melegítettem, olajat adtam hozzá, majd a zöldségeket is, sót szórtam rá és kisütöttem, amíg a zöldségek megpuhultak. Hozzáadtam a spenótot, fedővel lefedtem és párolni hagytam, amíg a spenót megpuhult és levet eresztett, akkor felhúztam a fedőt és összekevertem, majd hozzáadtam a paradicsom- és paprikamixet, csökkentettem a tűzhelyet és lassú tűzön főztem. Végül megsóztam. Egyszerűen, vagy valami mellé, például hús, tojás, kolbász, ahogy az ember kívánja."
Quinoa és gombával,"Egy nagyon finom, egyszerű és gyors vegetáriánus recept.","100 g quinoa mag
Konzerv gomba
1 hagyma
Fűszerek: paprika, vegeta, csípős paprika, só","1) Hozzáadhatunk egy kockára vágott sárgarépát.
2) Amikor a quinoát főzzük, hozzáadhatunk egy zöldséges Knorr kockát.
3) Joghurttal is tálalhatjuk.","100 gramm quinoa magot főzni egy nagy kanál vegeta. Miután elkészült 15-20 perc (amikor kész), elvesszük a tűzről, és öntsük le. Külön, egy hagymát pirítunk pirospaprikával és 2 evőkanál konzerv gomba (mama téli, gomba) és alacsony lángon 5 percig, amíg meg nem puhul, majd hozzáadjuk a quinoa magot és hagyjuk még 5 percig pirítani. Végül adjunk hozzá szárított petrezselymet, ha szükséges, sót és borsot. Opcionálisan, lehet adni csípős paprika por."
Rizs zöldségekkel és tenger gyümölcseivel,"Reggel a piacra mentem, és amikor azt gondoltam, hogy befejeztem a vásárlást, egy kisebb piros húsos paprikát láttam egy idős nőnél. Az eszembe jutott: ez jó lenne rizs töltelékkel! Mondtam és tettem. Megkérdeztem: Anyukám, mennyibe kerül a paprika?","1 piros hagyma
1 sárga hagyma
1 sárgarépa
1 széles paprika
1 kis zeller
1 petrezselyemgyökér
1 köménygyökér
200 gr rizs
300 gr tengeri gyümölcsök (kagylók, rákok, kalmárok)
egy ág petrezselyem
só
bors
3-4 evőkanál olaj","Nan

Nincs","Tisztítsd és mosd meg az összes zöldséget. Vágd vagy reszeld őket a kívánságod szerint. Melegíts fel olajat egy wokban. Adj hozzá egy kis hagymát az olajba, és hagyd, amíg átlátszóvá válik. Sorban adjuk hozzá a paprikát és a kis kockákra vágott vagy reszelt gyökereket. Főzd a zöldségeket, amíg félig készen vannak. Adj hozzá 200 ml forró vizet. Főzd 2-3 percig, és adj hozzá a mosott rizst. Főzd, amíg a rizs elkészül. Amikor a rizs kész, adj hozzá előre főtt tengeri herkentyűket. Ízesítsd ízlés szerint, kapcsold ki a tűzhelyet, és adj hozzá apróra vágott petrezselymet. Kínáljuk zöld salátával vagy savanyúsággal."
Tökölt gombával,"Nan

Nincs","1 nagy káposzta
300 g gomba
3 paradicsom
1 gerezd fokhagyma
2 evőkanál olívaolaj
egy ág zöld petrezselyem
só
bors",Bármilyen gombát használhatsz.,"A mosott gombákat, meghagyva, hogy lecsöpögjön, durván vágjuk. A megtisztított, mosott hagyma apró szeletekre vágva. Egy antiadhesív serpenyőbe helyezze az olajat melegítésre. Tegye bele a hagymát és párolja 5 percig. Adja hozzá a gombákat a hagymához. Párolja 3-4 percig, adjon hozzá 150 ml meleg vizet, apróra vágott paradicsomot és reszelt fokhagymát. Főzze, amíg a levet el nem főzi, kapcsolja ki a tűzhelyet és adjon hozzá apróra vágott petrezselymet. Adjunk hozzá vagy anélkül mángoldot."
Sült tök,"Ez nagyon egyszerű, és így a sütőtök megőrzi minden ízét.","1,3 kg tök
2-3 evőkanál olívaolaj
só
bors
szárított kakukkfű","Nan

Nincs","Vágja a tököt 2-3 cm-es szeletekre. Húzza ki a magokat, de hagyja a héjat. Helyezze a tök szeleteket egy sütőpapírral bélelt tepsibe, és kenje meg olívaolajjal mindkét oldalán. Sózza, borsozza és szórja meg őrölt köménnyel. Süsse a szeleteket 35-40 percig, fordítva mindkét oldalán, 200 °C-on melegített sütőben. Ideális köret hús vagy füstölt halhoz. Egy részét pürévé tettem, hogy tökös süteményeket készítsek. Az összes tökös receptem itt található."
"Cserszegi gombával, mángolddal és burgonyával","Egy jó és gyors leves, amit lehet postázni.","2 burgonya
2 sárgarépa
1 nagy fehér hagyma
pár gomba
1 fokhagyma
1/2 konzerv szójabab
petrezselyem
olívaolaj
Vegeta
bors
kurkuma","Nan

Nincs","A vöröshagymát és az fokhagymát apróra vágjuk, és olívaolajon pároljuk néhány percig. Hozzáadjuk a karikára vágott sárgarépát és a megtisztított és felkockázott gombákat. Adjuk hozzá a fűszereket, a nagy reszelőn lereszelt répát, és öntsünk rá vizet, és alacsony lángon főzzük. Körülbelül 10 perc múlva tegyük bele a kockára vágott burgonyát, a lecsöpögtetett mángoldot, és öntsünk rá vizet, és alacsony lángon főzzük. Hagyjuk, amíg a levet lefőzzük, és a zöldségek megpuhulnak. Köretként vagy főételként szolgálják fel."
Gombás burgonyával töltött csemegek,"Ez olyan finom és laktató étel. Jól megfontoltam, mielőtt elkészítettem, hogy nehogy elrontsam, és nehogy ne tetszenek nekik, de mindenkinek nagyon ízlett.","2 kis gomba kockázott
5 megfelelő krumpli
1 vöröshagyma
2 zöldhagyma
2 sárgarépa
300 gramm héjában levő paradicsomlé
só
bors
édes paprika
3 evőkanál olaj
1 evőkanál paradicsompüré
zöld petrezselyem","Nan

Nem","Megmosom a gombákat, és összeszűrjük. A krumplit megtisztítjuk, megmossuk és kockákra vágjuk. A hagymát megtisztítjuk és apróra vágjuk, a zöldhagymát pedig karikákra vágjuk. A répákat meghámozzuk, nagylyukú reszelőn lereszeljük, a meghámozott paradicsomot pedig apróra vágjuk. Egy serpenyőben felhevítjük az olajat. Rádobjuk a gombát, a répát és a szárított hagymát. 2-3 percig pároljuk, majd hozzáadjuk a krumplit és a zöldhagymát. Jól összekeverjük, és 2 percig főzzük. Utána annyi vizet öntünk bele, hogy ellepje az összes zöldséget. Sóval, borssal és édes paprikával fűszerezzük. Beállítjuk a lángot, és főzzük. 10 perc múlva hozzáadjuk a paradicsomot. Időről időre átkeverjük. Amikor a leves elég sűrű és a zöldségek átáztak, beletesszük a paradicsomlevet. Jól összekeverjük, és még pár percig főzzük. Megkóstoljuk, hogy megfelelő-e az ízvilág. Levesszük a tűzről, hagyjuk kicsit kihűlni, majd petrezselyemmel meghintve tálaljuk. Jó étvágyat!"
Krumpligulyás,"Ez egy olyan étel, amely annyira egyszerű elkészíteni, annyira ízletes és alkalmas a böjti napokra.","1,2 kg krumpli
3 nagy fejes paprika
6 nagy hagyma
1 csokor petrezselyem vagy kapor
1 teáskanál édes paprika
1/2 teáskanál csípős paprika
egy 1/2 teáskanál kömény
egy kis kakukkfű
2 babérlevél
1 evőkanál paradicsompüré
só
olaj","Nan

Nincs","A tisztított és megmosott hagymát karikákra vágjuk és néhány evőkanál olajban pirítjuk, időről időre kevés meleg vizet öntve, amíg jól megpuhul és szósz keletkezik. Hozzáadjuk a megmosott, megtisztított és nem túl vékony szeletekre vágott paprikákat. Hagyjuk a zöldségeket párolni néhány percig, adjuk hozzá a borsot, a köményt, a köménymagot, a füvet és a kockára vágott burgonyát. Öntsünk annyi vizet, amennyi ellepi a zöldségeket, és főzzük, amíg a burgonya jól át nem párolódik. Végül adjuk hozzá a paradicsom pasztát és a finomra vágott zöldfűszereket. Tálaljuk savanyúsággal."
